athlete_id,name,born_date,born_country,NOC,country_noc
27907,Ivica Horvat,1926-07-16,CRO,Yugoslavia,YUG
27908,Miloš Hrstić,1955-11-20,CRO,Yugoslavia,YUG
27909,Milutin Ivković,1906-03-01,SRB,Yugoslavia,YUG
27910,Tomislav Ivković,1960-08-11,CRO,Yugoslavia,YUG
27911,Živorad Jevtić,1944-12-27,SRB,Yugoslavia,YUG
27913,Miodrag Jovanović,1922-01-17,SRB,Yugoslavia,YUG
27914,Milan Jovin,1955-12-12,SRB,Yugoslavia,YUG
27915,Davor Jozić,1960-09-22,BIH,Yugoslavia,YUG
27917,Srečko Katanec,1963-07-16,SLO,Yugoslavia,YUG
27918,Nikica Klinčarski,1957-01-05,MKD,Yugoslavia,YUG
27919,Tomislav Knez,1938-06-09,BIH,Yugoslavia,YUG
27920,Andrija Kojić,1896-08-28,SRB,Yugoslavia,YUG
27921,Mladen Koščak,1936-10-16,CRO,Yugoslavia,YUG
27922,Bora Kostić,1930-06-14,SRB,Yugoslavia,YUG
27923,Aleksandar Kozlina,1938-12-20,CRO,Yugoslavia,YUG
27924,Dobrosav Krstić,1932-02-05,SRB,Yugoslavia,YUG
27925,Mišo Krstičević,1958-02-19,CRO,Yugoslavia,YUG
27926,Dragoje Leković,1967-11-21,SRB,Yugoslavia,YUG
27928,Luka Lipošinović,1933-05-12,SRB,Yugoslavia,YUG
27929,Ljubomir Lovrić,1920-05-28,SRB,Yugoslavia,YUG
27930,Dušan Maravić,1939-03-07,FRA,Yugoslavia,YUG
27933,Vladimir Matijević,1957-02-01,BIH,Yugoslavia,YUG
27934,Željko Matuš,1935-08-09,CRO,Yugoslavia,YUG
27935,Prvoslav Mihajlović,1921-04-13,SRB,Yugoslavia,YUG
27936,Mirko Mihić,1965-07-24,BIH,Yugoslavia,YUG
27937,Zoran Miladinović,1939-01-30,SRB,Yugoslavia,YUG
27938,Dušan Milinković,1960-12-02,SRB,Yugoslavia,YUG
27939,Branko Miljuš,1960-08-17,CRO,Yugoslavia,YUG
27940,Cvijan Milošević,1963-10-27,SRB,Yugoslavia,YUG
27941,Ante Miročević,1952-08-06,MNE,Yugoslavia,YUG
27942,Rajko Mitić,1922-11-19,SRB,Yugoslavia,YUG
27943,Mića Mitrović,1908-04-12,SRB,Yugoslavia,YUG
27944,Mitar Mrkela,1965-07-10,SRB,Yugoslavia,YUG
27945,Muhamed Mujić,1933-04-25,BIH,Yugoslavia,YUG
27946,Jovica Nikolić,1959-07-11,SRB,Yugoslavia,YUG
27947,Tihomir Ognjanov,1927-03-02,SRB,Yugoslavia,YUG
27948,Ivica Osim,1941-05-06,BIH,Yugoslavia,YUG
27949,Dragan Pantelić,1951-12-09,SRB,Yugoslavia,YUG
27950,Zlatko Papec,1934-01-17,CRO,Yugoslavia,YUG
27951,Emil Perška,1896-06-20,SRB,Yugoslavia,YUG
27952,Željko Perušić,1936-03-23,CRO,Yugoslavia,YUG
27953,Dušan Pešić,1955-04-26,SRB,Yugoslavia,YUG
27954,Dušan Petković,1902-04-13,SRB,Yugoslavia,YUG
27955,Emil Plazzeriano,1897-12-03,CRO,Yugoslavia,YUG
27956,Ivan Granec,1895-09-08,CRO,Yugoslavia,YUG
27957,Branimir Porobić,1901-01-05,SRB,Yugoslavia,YUG
27958,Danko Premerl,1904-01-23,CRO,Yugoslavia,YUG
27959,Boro Primorac,1954-12-05,BIH,Yugoslavia,YUG
27960,Ivan Pudar,1961-08-16,SRB,Yugoslavia,YUG
27961,Ljubomir Radanović,1960-07-21,MNE,Yugoslavia,YUG
27962,Petar Radenković,1934-06-03,SRB,Yugoslavia,YUG
